,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,dukat,62.55,155.55,28.67,86,100,6.29,RU,1620779035
84,nanortalik,60.1432,-45.2371,39.47,68,93,2.71,GL,1620779036
85,murgab,37.4966,61.9714,62.6,59,8,4.61,TM,1620779037
86,shache,38.4167,77.2406,69.26,21,100,17.65,CN,1620779038
87,cidreira,-30.1811,-50.2056,59.29,70,100,8.52,BR,1620779040
88,honiara,-9.4333,159.95,84.87,68,99,3.8,SB,1620779041
89,dalby,-27.1833,151.2667,60.8,100,40,9.22,AU,1620779042
90,kargasok,59.0556,80.8572,45.14,63,5,3.83,RU,1620779044
91,muroto,33.2833,134.15,66.2,77,90,3.44,JP,1620779045
92,mehamn,71.0357,27.8492,35.76,81,99,8.84,NO,1620779046
93,haines junction,59.2286,-135.4441,51.8,71,90,9.22,US,1620779048
94,hilo,19.7297,-155.09,82.4,54,90,9.22,US,1620778419
95,cape town,-36.413,-71.9028,55.0,81,63,3.44,CL,1620779050
96,barrow,71.2906,-156.7887,19.4,79,90,12.66,US,1620779051
97,plettenberg bay,51.2167,7.8833,53.01,74,100,7.05,DE,1620778805
98,edd,13.9297,41.6925,87.15,64,52,2.51,ER,1620779054
99,cuiluan,47.72,128.648,52.0,79,100,11.81,CN,1620779055
100,clinton,42.587,-82.9199,52.0,57,40,9.22,US,1620778842
101,dingle,10.9995,122.6711,84.36,73,79,10.89,PH,1620779057
102,yerbogachen,61.2767,108.0108,34.77,60,54,8.84,RU,1620779058
103,vytegra,61.0064,36.4481,51.96,82,6,7.38,RU,1620779060
104,nouadhibou,20.931,-17.0347,69.8,68,0,19.57,MR,1620779061
105,tilichiki,60.4667,166.1,26.8,77,63,8.59,RU,1620779062
106,cayenne,4.9333,-52.3333,77.0,88,75,9.22,GF,1620779064
107,araxa,-19.5933,-46.9406,68.0,60,0,1.14,BR,1620778825
108,saint-ambroise,48.5501,-71.3324,54.0,62,90,5.75,CA,1620779066
109,black river,31.0093,-85.7444,69.8,88,75,5.75,US,1620779067
110,pangnirtung,66.1451,-65.7125,21.49,94,20,3.27,CA,1620779069
111,finschhafen,-6.6024,147.8681,81.99,77,97,6.44,PG,1620779070
112,nikolskoye,59.7035,30.7861,57.0,54,0,2.24,RU,1620779071
113,kapaa,22.0752,-159.319,80.6,61,1,12.66,US,1620779073
114,terrace,54.5163,-128.6035,59.0,51,90,6.91,CA,1620779074
115,bahia honda,-12.0,-42.0,61.95,66,39,4.85,BR,1620779075
116,zlitan,32.4674,14.5687,67.89,75,4,14.79,LY,1620779076
117,wardha,20.75,78.6167,78.8,69,20,2.3,IN,1620779078
118,upernavik,72.7868,-56.1549,29.12,97,100,3.27,GL,1620779079
119,kahului,20.8947,-156.47,80.6,57,20,29.93,US,1620778903
120,namtsy,62.7161,129.6658,46.4,49,0,4.47,RU,1620779081
121,chagoda,59.164,35.3285,47.89,91,1,4.65,RU,1620779083
122,tuatapere,-46.1333,167.6833,48.99,79,64,3.0,NZ,1620779084
123,camopi,3.1655,-52.3158,70.92,99,100,1.1,GF,1620779085
124,americus,32.0724,-84.2327,78.8,73,90,9.22,US,1620779086
125,butaritari,3.0707,172.7902,82.45,74,98,12.75,KI,1620779088
126,tanabe,33.7333,135.3667,68.0,68,75,2.3,JP,1620779089
127,carnarvon,-24.8667,113.6333,64.4,82,0,3.44,AU,1620778960
128,port alfred,-7.0349,29.7638,68.92,75,1,5.46,CD,1620779091
129,sola,-13.8833,167.55,89.6,74,75,4.61,VU,1620779092
130,athens,37.9795,23.7162,64.99,41,0,5.53,GR,1620778755
131,moose factory,43.6558,-110.7183,48.2,81,90,10.36,US,1620779095
132,sakakah,29.9697,40.2064,80.6,16,90,6.91,SA,1620779096
133,mountain home,13.3667,-81.3667,81.14,86,7,20.85,CO,1620779097
134,vagur,61.4732,-6.8119,40.84,70,100,23.24,FO,1620779099
135,bambanglipuro,-7.95,110.2833,78.35,84,69,6.13,ID,1620779100
136,eenhana,-17.4667,16.3333,57.2,67,0,2.3,NA,1620779101
137,merauke,-8.4667,140.3333,80.55,82,96,8.57,ID,1620779104
138,tiksi,71.6872,128.8694,21.25,92,90,2.62,RU,1620779105
139,jibuti,11.5,42.5,82.4,83,1,6.98,DJ,1620779106
140,codrington,-38.2667,141.9667,53.64,66,8,7.9,AU,1620779108
141,mandan,46.8267,-100.8896,64.4,27,1,6.91,US,1620779109
142,shatsk,54.0258,41.7119,46.69,89,50,4.41,RU,1620779110
143,cabo san lucas,-8.2833,-35.0333,73.4,88,40,6.91,BR,1620779111
144,nemuro,43.3236,145.575,44.6,65,75,4.61,JP,1620779113
145,leningradskiy,69.3833,178.4167,29.55,90,100,7.87,RU,1620779114
146,balykshi,47.0667,51.8667,57.2,82,40,8.95,KZ,1620779115
147,namibe,-15.1961,12.1522,73.81,61,2,2.84,AO,1620779117
148,puerto padre,36.5939,-6.233,62.6,72,0,8.05,ES,1620779118
149,celestun,20.8667,-90.4,84.69,72,58,18.95,MX,1620779119
150,cap-aux-meules,47.3821,-61.8597,41.0,75,2,3.44,CA,1620779120
151,victoria,22.2855,114.1577,87.01,83,37,1.01,HK,1620778888
152,belmonte,-15.8631,-38.8828,71.6,73,20,2.3,BR,1620779123
153,jaciara,-15.9653,-54.9683,78.85,43,74,2.3,BR,1620779124
154,dalbandin,28.8947,64.4101,74.08,24,0,8.37,PK,1620779125
155,tiarei,-17.5333,-149.3333,86.0,66,75,10.36,PF,1620779127
156,benguela,-12.5763,13.4055,76.57,80,6,1.23,AO,1620779128
157,saldanha,-33.0117,17.9442,51.8,87,0,3.44,ZA,1620779129
158,avarua,-21.2078,-159.775,77.0,83,75,1.14,CK,1620779130
159,tarumovka,44.0761,46.5361,48.74,78,0,5.23,RU,1620779132
160,zhurivka,50.5028,31.7849,51.8,58,0,13.42,UA,1620779133
161,isla mujeres,15.8939,120.3036,86.45,61,14,9.91,PH,1620779134
162,tazovskiy,67.4667,78.7,28.49,91,100,6.64,RU,1620779067
163,kaitangata,-46.2817,169.8464,50.0,67,17,1.99,NZ,1620779137
164,hithadhoo,-0.6,73.0833,83.35,72,82,11.3,MV,1620779138
165,avera,33.194,-82.5271,75.2,83,90,1.97,US,1620779139
166,talnakh,69.4865,88.3972,33.31,99,100,3.94,RU,1620779141
167,tura,25.5198,90.2201,67.69,95,100,2.98,IN,1620779142
168,beringovskiy,63.05,179.3167,31.91,99,100,3.8,RU,1620779143
169,bluff,-46.6,168.3333,48.99,79,25,3.0,NZ,1620779145
170,khandyga,62.6667,135.6,46.47,87,100,7.43,RU,1620779146
171,georgetown,5.4112,100.3354,81.0,94,20,3.44,MY,1620778959
172,udimskiy,61.1417,45.9144,48.27,89,71,5.68,RU,1620779148
173,tessalit,20.1986,1.0114,90.77,11,48,11.01,ML,1620779149
174,cockburn town,-32.0833,141.0,50.0,76,0,9.22,AU,1620779151
175,aran,40.6253,46.9756,50.0,87,0,3.44,AZ,1620779152
176,saint-pierre,-21.3393,55.4781,71.6,73,0,3.44,RE,1620778927
177,price,39.5994,-110.8107,62.6,19,40,8.05,US,1620779154
178,hambantota,6.1241,81.1185,77.0,100,20,4.21,LK,1620779156
179,mariental,-24.6333,17.9667,63.57,27,0,9.73,NA,1620779157
180,salalah,17.0151,54.0924,82.4,83,20,2.3,OM,1620779158
181,murray bridge,40.6669,-111.888,63.0,31,1,13.8,US,1620779159
182,fortuna,40.5982,-124.1573,64.99,72,1,13.8,US,1620779161
183,ugoofaaru,5.6667,73.0,80.1,91,100,22.46,MV,1620779162
184,katsuura,35.1333,140.3,69.01,51,100,7.0,JP,1620779163
185,port hardy,-7.0349,29.7638,68.92,75,1,5.46,CD,1620779032
186,pangoa,-12.1167,-73.0,71.67,83,75,2.53,PE,1620779166
187,kavieng,-2.5744,150.7967,81.0,79,96,7.2,PG,1620779167
188,makakilo city,21.3524,-158.0865,86.0,48,75,9.22,US,1620779168
189,gravdal,68.1214,13.5031,40.75,93,88,11.7,NO,1620779169
190,vostok,46.4856,135.8833,53.83,48,27,4.27,RU,1620779171
191,esperance,-33.8667,121.9,62.6,67,90,12.66,AU,1620779172
192,narsaq,60.9167,-46.05,42.8,45,75,6.91,GL,1620779174
193,yaan,7.3833,8.5667,79.09,77,19,8.03,NG,1620779175
194,camacha,33.0833,-16.3333,62.6,67,20,8.05,PT,1620779176
195,ahipara,-35.1667,173.1667,67.19,82,99,6.51,NZ,1620779178
196,aklavik,68.2191,-135.0107,32.0,69,75,11.5,CA,1620779179
197,kununurra,-15.7667,128.7333,82.4,32,0,11.5,AU,1620779180
198,aksu,41.1231,80.2644,66.15,27,100,6.71,CN,1620779182
199,safaga,26.7292,33.9365,80.6,32,0,11.5,EG,1620779183
200,jesup,31.6074,-81.8854,77.0,65,1,5.75,US,1620778996
201,bhattiprolu,16.1,80.7833,77.0,94,40,6.08,IN,1620779186
202,bonthe,7.5264,-12.505,80.31,82,97,3.96,SL,1620779187
203,santa fe,17.486,120.4348,86.41,65,4,3.13,PH,1620779188
204,chesma,53.8111,60.6533,52.99,40,74,5.17,RU,1620779190
205,chuy,-33.6971,-53.4616,50.47,79,8,7.11,UY,1620779191
206,mount gambier,53.6597,-1.8537,43.0,96,46,3.13,GB,1620779035
207,white rock,35.2504,-91.7335,54.0,100,90,9.22,US,1620779194
208,souillac,-20.5167,57.5167,68.0,94,40,5.75,MU,1620779195
209,margate,51.3813,1.3862,51.01,73,24,1.99,GB,1620779196
210,kutum,14.2,24.6667,75.83,39,6,4.63,SD,1620779198
211,santa cruz,17.486,120.4348,86.41,65,4,3.13,PH,1620779199
212,fukue,32.6881,128.8419,64.4,100,75,9.22,JP,1620779200
213,nouakchott,18.0858,-15.9785,86.0,21,4,11.5,MR,1620779202
214,kiama,-34.6833,150.8667,63.0,82,85,1.01,AU,1620779203
215,narrabri,-30.3167,149.7833,62.01,67,73,4.61,AU,1620779204
216,mahebourg,-20.4081,57.7,68.0,94,40,5.75,MU,1620779205
217,kudahuvadhoo,2.6708,72.8944,81.3,85,100,22.84,MV,1620779207
218,norman wells,35.2226,-97.4395,53.6,82,90,13.8,US,1620778952
219,kurchum,48.5722,83.6542,49.24,50,1,6.58,KZ,1620779209
220,melfi,40.9965,15.6514,51.8,93,40,20.71,IT,1620779210
221,ystad,55.4297,13.8204,60.8,67,0,11.5,SE,1620779212
222,comodoro rivadavia,-13.6631,-59.7858,69.76,62,43,2.93,BR,1620779213
223,boende,-0.2167,20.8667,72.9,85,97,0.54,CD,1620779214
224,monrovia,6.3005,-10.7969,75.2,94,75,4.61,LR,1620779215
225,abu samrah,24.6,72.7,67.95,61,17,6.33,IN,1620779217
226,saint-georges,12.0564,-61.7485,80.6,78,20,14.97,GD,1620779067
227,dunedin,-45.8742,170.5036,47.53,56,33,3.0,NZ,1620779219
228,fort nelson,52.6517,6.3861,54.0,94,100,1.01,NL,1620779220
229,cerrito,6.8432,-72.694,71.6,100,75,2.3,CO,1620779222
230,chau doc,45.3474,3.6469,44.6,93,0,2.3,FR,1620779223
231,bom jesus,14.9539,-2.9272,92.73,25,88,3.06,ML,1620779224
232,new norfolk,6.6518,-10.5932,75.2,94,75,4.61,LR,1620779225
233,vila franca do campo,42.0304,-8.1588,51.01,94,100,21.0,PT,1620779227
234,nhulunbuy,-12.2333,136.7667,86.0,62,75,17.27,AU,1620779228
235,okhotsk,59.3833,143.3,38.1,69,62,4.97,RU,1620779229
236,inhambane,-23.865,35.3833,68.86,79,0,3.65,MZ,1620779230
237,hamilton,39.1834,-84.5333,55.4,41,1,8.05,US,1620779232
238,lompoc,34.6391,-120.4579,64.0,77,12,14.97,US,1620779170
239,griffith,41.5284,-87.4237,48.0,49,1,11.5,US,1620779234
240,amahai,-3.3333,128.9167,82.06,75,87,1.34,ID,1620779235
241,vila,42.0304,-8.1588,51.01,94,100,21.0,PT,1620779227
242,dehloran,32.6941,47.2679,85.78,23,57,11.14,IR,1620779238
243,halifax,44.6453,-63.5724,48.0,81,20,3.44,CA,1620779100
244,williams lake,52.1415,-122.1445,60.8,27,75,3.44,CA,1620779240
245,saint-felicien,48.6501,-72.4491,55.4,54,75,3.44,CA,1620779121
246,wukari,7.85,9.7833,79.75,74,54,7.11,NG,1620779243
247,hasaki,35.7333,140.8333,69.01,55,75,11.5,JP,1620779244
248,sobolevo,54.4299,31.8996,50.41,97,3,7.07,RU,1620779245
249,gushikawa,26.3544,127.8686,82.4,78,75,16.11,JP,1620779246
250,lebu,-37.6167,-73.65,50.54,81,72,9.62,CL,1620779248
251,urumqi,43.801,87.6005,60.8,59,0,4.47,CN,1620779044
252,khatanga,71.9667,102.5,33.3,98,100,12.95,RU,1620779250
253,sayyan,15.1718,44.3244,63.36,55,98,2.04,YE,1620779251
254,maceio,-9.6658,-35.7353,73.4,94,75,1.14,BR,1620779253
255,morehead,37.2711,-87.1764,61.0,51,90,9.22,US,1620779254
256,guarapari,-20.6667,-40.4975,72.0,68,0,8.05,BR,1620779255
257,jacareacanga,-6.2222,-57.7528,75.02,95,76,1.97,BR,1620779256
258,vila velha,42.0304,-8.1588,51.01,94,100,21.0,PT,1620779227
259,roma,43.2128,-75.4557,48.2,46,1,17.27,US,1620779259
260,revelstoke,50.9832,-118.2023,69.8,18,1,4.61,CA,1620779260
261,sept-iles,50.2001,-66.3821,45.0,81,75,8.05,CA,1620779261
262,chumikan,54.7183,135.315,37.62,79,53,4.38,RU,1620779263
263,flinders,-34.5833,150.8552,63.0,82,83,1.01,AU,1620779264
264,ibadan,7.3878,3.8964,73.08,95,11,3.91,NG,1620779265
265,geraldton,-28.7667,114.6,60.8,72,2,8.05,AU,1620779266
266,vardo,70.3705,31.1107,38.77,92,100,12.21,NO,1620779268
267,shaki,41.0833,47.1667,50.0,87,0,3.44,AZ,1620779269
268,manzanillo,20.3433,-77.1167,76.37,86,23,9.91,CU,1620779270
269,kralendijk,12.15,-68.2667,80.6,78,40,17.27,BQ,1620779272
270,trabzon,40.9167,39.8333,50.0,76,0,2.3,TR,1620779273
271,sidi ali,5.0829,19.8781,71.85,93,74,2.8,CF,1620779274
272,longyearbyen,78.2186,15.6401,21.2,86,75,3.44,SJ,1620779275
273,bengkulu,-3.8004,102.2655,77.07,91,96,3.18,ID,1620779277
274,shreveport,32.5251,-93.7502,59.0,94,90,8.05,US,1620779019
275,popondetta,-8.7537,148.2534,87.58,56,62,3.15,PG,1620779279
276,palmer,42.1584,-72.3287,53.6,35,20,14.97,US,1620779280
277,emerald,-23.5333,148.1667,79.0,65,40,9.22,AU,1620779282
278,zhicheng,30.2956,111.5047,72.0,77,78,3.31,CN,1620779283
279,vallenar,-28.5708,-70.7581,64.58,55,0,3.47,CL,1620779284
280,ixtapa,20.7,-105.2,82.4,69,90,8.05,MX,1620779286
281,lasa,46.6166,10.7002,46.0,93,75,6.91,IT,1620779287
282,yumen,40.2833,97.2,60.39,34,27,16.55,CN,1620779288
283,savelugu,9.6244,-0.8253,87.13,46,30,4.59,GH,1620779290
284,san quintin,13.3034,-4.8956,90.54,34,89,14.63,ML,1620779254
285,bethel,41.3712,-73.414,57.2,33,75,5.75,US,1620779292
286,victor harbor,42.9826,-77.4089,48.99,67,46,3.0,US,1620779293
287,tigzirt,36.8886,4.1198,56.59,55,0,7.87,DZ,1620779294
288,dasoguz,41.8363,59.9666,66.2,45,0,4.61,TM,1620779296
289,lavrentiya,65.5833,-171.0,34.97,99,100,5.57,RU,1620779297
290,carutapera,-1.195,-46.02,75.25,93,44,4.79,BR,1620779298
291,ribeira grande,42.7461,-8.4439,57.0,87,75,12.66,ES,1620779300
292,richards bay,46.8361,-95.9123,59.0,21,1,5.75,US,1620779301
293,afua,-0.1567,-50.3867,74.57,96,98,4.21,BR,1620779302
294,korla,41.7597,86.1469,63.0,42,100,20.67,CN,1620779304
295,yulara,-25.2406,130.9889,60.8,51,0,12.66,AU,1620779305
296,dikson,73.5069,80.5464,27.36,95,73,19.46,RU,1620779306
297,constitucion,-35.3333,-72.4167,55.81,69,31,6.38,CL,1620779307
298,gamba,-2.65,10.0,77.7,90,100,3.18,GA,1620779287
299,ilulissat,69.2167,-51.1,33.8,80,75,2.3,GL,1620779310
300,sable-sur-sarthe,47.8376,-0.3329,46.99,87,0,5.75,FR,1620779311
301,juegang,32.3174,121.1855,65.5,89,100,10.94,CN,1620779312
302,odweyne,9.4092,45.064,74.59,62,100,7.38,SO,1620779314
303,saint-joseph,-21.3667,55.6167,71.6,73,0,3.44,RE,1620779315
304,mahibadhoo,3.7833,72.9667,81.59,83,100,20.22,MV,1620779316
305,sakaiminato,35.55,133.2333,62.6,72,75,17.27,JP,1620779318
306,sao joao da barra,20.5113,76.2129,78.4,40,16,10.94,IN,1620779319
307,mayumba,-3.432,10.6554,78.15,90,100,5.44,GA,1620779320
308,mackenzie,55.2999,-123.1698,60.8,29,90,9.22,CA,1620779322
309,lorengau,-2.0226,147.2712,80.4,85,99,7.72,PG,1620779323
310,coquimbo,-29.9533,-71.3436,55.4,88,90,4.61,CL,1620779248
311,miyako,39.6367,141.9525,54.48,74,27,4.5,JP,1620779325
312,mosetse,-20.75,26.65,55.85,57,0,9.51,BW,1620779327
313,beira,-19.8436,34.8389,71.6,88,20,6.04,MZ,1620779328
314,grand gaube,38.8755,-109.5012,64.4,12,1,4.61,US,1620779329
315,napier,-39.4833,176.9167,57.0,83,96,5.99,NZ,1620779331
316,san cristobal,13.3034,-4.8956,90.54,34,89,14.63,ML,1620779332
317,tevaitoa,-16.7833,-151.5,80.53,78,90,18.63,PF,1620779333
318,tete,-16.1564,33.5867,69.01,88,40,2.35,MZ,1620779222
319,namatanai,-3.6667,152.4333,84.18,67,63,3.44,PG,1620779336
320,sao francisco,20.5113,76.2129,78.4,40,16,10.94,IN,1620779337
321,kawalu,-7.3817,108.2082,75.65,93,92,2.28,ID,1620779338
322,homer,59.6425,-151.5483,42.8,87,90,11.5,US,1620779340
323,phayao,19.25,100.25,77.0,99,14,2.08,TH,1620779341
324,bilibino,68.0546,166.4372,28.08,76,96,2.13,RU,1620779342
325,olafsvik,64.8945,-23.7142,37.78,63,58,4.72,IS,1620779293
326,ordu,40.9086,37.6845,46.4,100,0,2.3,TR,1620779344
327,jian,27.1172,114.9793,74.52,91,55,1.74,CN,1620779346
328,lapy,52.9911,22.8842,57.0,45,7,4.0,PL,1620779347
329,urengoy,65.9667,78.3667,33.62,83,100,9.93,RU,1620779348
330,uvat,59.1433,68.8953,48.2,81,91,8.39,RU,1620779350
331,adrar,20.5022,-10.0711,84.6,12,1,12.77,MR,1620779351
332,bathsheba,13.2167,-59.5167,75.2,73,75,25.32,BB,1620779256
333,westport,41.1415,-73.3579,57.0,50,89,10.63,US,1620779353
334,clyde river,41.3042,-82.9752,52.0,42,91,8.66,US,1620779354
335,berdigestyakh,62.0989,126.6992,37.92,76,99,5.99,RU,1620779356
336,podosinovets,60.2776,47.0659,47.93,84,39,3.65,RU,1620779357
337,vanimo,-2.6741,141.3028,82.54,75,100,3.87,PG,1620779358
338,hay river,52.0705,-3.1274,46.0,93,54,4.83,GB,1620779360
339,tsumeb,-19.2333,17.7167,60.93,32,0,8.59,NA,1620779361
340,zhigansk,66.7697,123.3711,29.62,68,27,15.28,RU,1620779362
341,tecoanapa,16.5167,-98.75,86.07,64,60,7.27,MX,1620779364
342,sibu,2.3,111.8167,80.6,89,40,4.61,MY,1620779365
343,kawana waters,-23.3335,150.5051,78.8,69,40,8.05,AU,1620779366
344,rawson,-43.3002,-65.1023,57.09,41,65,7.38,AR,1620779367
345,rio gallegos,38.3,21.7833,55.4,94,0,2.19,GR,1620779369
346,ngunguru,-35.6167,174.5,72.0,83,85,7.0,NZ,1620779370
347,nishihara,26.1842,127.7558,82.4,83,75,17.27,JP,1620779371
348,ribeira brava,42.7461,-8.4439,57.0,87,75,12.66,ES,1620779300
349,nova aurora,-5.5279,-46.7049,74.28,79,81,3.53,BR,1620779374
350,santiago de cao,-33.4569,-70.6483,66.99,36,0,2.3,CL,1620779103
351,sao filipe,20.5113,76.2129,78.4,40,16,10.94,IN,1620779319
352,nisia floresta,39.3942,21.6373,50.0,81,3,2.77,GR,1620779377
353,sinnamary,5.3833,-52.95,77.94,86,96,11.56,GF,1620779379
354,aksarka,66.5606,67.7975,40.03,82,85,11.25,RU,1620779380
355,gelemso,8.8167,40.5167,62.58,61,55,2.21,ET,1620779381
356,san patricio,13.3034,-4.8956,90.54,34,89,14.63,ML,1620779332
357,pacifica,37.6138,-122.4869,66.2,52,20,21.85,US,1620779383
358,ouadda,8.0777,22.4007,68.63,95,97,3.6,CF,1620779385
359,wanning,18.8003,110.3967,83.88,76,20,12.19,CN,1620779386
360,varhaug,58.6147,5.6457,48.0,88,100,8.1,NO,1620779387
361,lachi,33.3833,71.3386,73.4,60,40,4.61,PK,1620779389
362,san pedro de uraba,13.3034,-4.8956,90.54,34,89,14.63,ML,1620779390
363,kieta,-6.2167,155.6333,84.02,70,97,3.4,PG,1620779391
364,boa vista,4.4296,8.9742,77.88,89,96,2.75,CM,1620779392
365,toora-khem,52.4675,96.11,42.26,53,20,1.41,RU,1620779394
366,srednekolymsk,67.45,153.6833,26.6,80,95,3.42,RU,1620779395
367,tirukkoyilur,11.95,79.2,82.81,76,91,7.63,IN,1620779396
368,ust-nera,64.5667,143.2,39.34,74,95,3.87,RU,1620779398
369,loreto,22.2667,-101.9667,64.31,70,100,16.6,MX,1620779399
